Date,Open,High,Low,Close,Volume,Adj Close
2009-10-23,3107.85,3107.85,3107.85,3107.85,000,3107.85
2009-10-22,3051.41,3051.41,3051.41,3051.41,000,3051.41
2009-10-21,3070.59,3070.59,3070.59,3070.59,000,3070.59
2009-10-20,3084.45,3084.45,3084.45,3084.45,000,3084.45
2009-10-19,3038.27,3038.27,3038.27,3038.27,000,3038.27
2009-10-16,2976.63,2976.63,2976.63,2976.63,000,2976.63
2009-10-15,2979.79,2979.79,2979.79,2979.79,000,2979.79
2009-10-14,2970.53,2970.53,2970.53,2970.53,000,2970.53
2009-10-13,2936.19,2936.19,2936.19,2936.19,000,2936.19
2009-10-12,2894.48,2894.48,2894.48,2894.48,000,2894.48
2009-10-09,2911.72,2911.72,2911.72,2911.72,000,2911.72
2009-10-08,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-10-07,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-10-06,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-10-05,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-10-02,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-10-01,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-09-30,2779.43,2779.43,2779.43,2779.43,000,2779.43
2009-09-29,2754.54,2754.54,2754.54,2754.54,000,2754.54
2009-09-28,2763.52,2763.52,2763.52,2763.52,000,2763.52
2009-09-25,2838.84,2838.84,2838.84,2838.84,000,2838.84
2009-09-24,2853.55,2853.55,2853.55,2853.55,000,2853.55
2009-09-23,2842.72,2842.72,2842.72,2842.72,000,2842.72
2009-09-22,2897.55,2897.55,2897.55,2897.55,000,2897.55
2009-09-21,2967.01,2967.01,2967.01,2967.01,000,2967.01
2009-09-18,2962.67,2962.67,2962.67,2962.67,000,2962.67
2009-09-17,3060.26,3060.26,3060.26,3060.26,000,3060.26
2009-09-16,2999.71,2999.71,2999.71,2999.71,000,2999.71
2009-09-15,3033.73,3033.73,3033.73,3033.73,000,3033.73
2009-09-14,3026.74,3026.74,3026.74,3026.74,000,3026.74
2009-09-11,2989.79,2989.79,2989.79,2989.79,000,2989.79
2009-09-10,2924.88,2924.88,2924.88,2924.88,000,2924.88
2009-09-09,2946.26,2946.26,2946.26,2946.26,000,2946.26
2009-09-08,2930.48,2930.48,2930.48,2930.48,000,2930.48
2009-09-07,2881.12,2881.12,2881.12,2881.12,000,2881.12
2009-09-04,2861.61,2861.61,2861.61,2861.61,000,2861.61
2009-09-03,2845.02,2845.02,2845.02,2845.02,000,2845.02
2009-09-02,2714.97,2714.97,2714.97,2714.97,000,2714.97
2009-09-01,2683.72,2683.72,2683.72,2683.72,000,2683.72
2009-08-31,2667.75,2667.75,2667.75,2667.75,000,2667.75
2009-08-28,2860.69,2860.69,2860.69,2860.69,000,2860.69
2009-08-27,2946.40,2946.40,2946.40,2946.40,000,2946.40
2009-08-26,2967.59,2967.59,2967.59,2967.59,000,2967.59
2009-08-25,2915.80,2915.80,2915.80,2915.80,000,2915.80
2009-08-24,2993.43,2993.43,2993.43,2993.43,000,2993.43
2009-08-21,2960.77,2960.77,2960.77,2960.77,000,2960.77
2009-08-20,2911.58,2911.58,2911.58,2911.58,000,2911.58
2009-08-19,2785.58,2785.58,2785.58,2785.58,000,2785.58
2009-08-18,2910.88,2910.88,2910.88,2910.88,000,2910.88
2009-08-17,2870.63,2870.63,2870.63,2870.63,000,2870.63
2009-08-14,3046.97,3046.97,3046.97,3046.97,000,3046.97
2009-08-13,3140.56,3140.56,3140.56,3140.56,000,3140.56
2009-08-12,3112.72,3112.72,3112.72,3112.72,000,3112.72
2009-08-11,3264.73,3264.73,3264.73,3264.73,000,3264.73
2009-08-10,3249.76,3249.76,3249.76,3249.76,000,3249.76
2009-08-07,3260.69,3260.69,3260.69,3260.69,000,3260.69
2009-08-06,3356.33,3356.33,3356.33,3356.33,000,3356.33
2009-08-05,3428.50,3428.50,3428.50,3428.50,000,3428.50
